id,firstName,lastName,age,btc,relationship,gender,income
1,Bucky,Roberts,13,5.2459,single,male,71775.45
2,Lisa,Gallagher,21,0.4495,single,female,16920.13
3,Emma,Williams,51,4.6715,not single,female,387838.41
4,Tony,Masters,15,1.2722,not single,male,32708.94
5,Mike,Smith,53,5.3112,single,male,515511.11
6,Sally,Raphael,17,4.1720,not single,female,138485.61
7,John,Wisdom,49,2.1994,single,male,130385.62
8,Nu,Wilson,27,5.4513,single,male,253038.37
9,Antonette,Moore,9,3.6895,single,female,40887.04
10,Tamekia,Taylor,56,5.3547,not single,female,364385.26
11,Hubert,Anderson,53,4.1759,not single,male,336855.47
12,Clare,Thomas,53,1.9658,single,male,202160.06
13,Yevette,Jackson,67,1.7299,not single,female,124544.11
14,Pierre,White,25,3.1207,single,male,96456.71
15,Clarinda,Harris,61,3.8574,single,male,413273.93
16,Robbie,Martin,10,5.3659,single,female,91187.33
17,Diedra,Thompson,54,4.6566,not single,female,493767.44
18,Solange,Garcia,26,5.7000,not single,male,188838.90
19,Laverna,Martinez,24,4.5283,single,male,170450.33
20,Marquita,Robinson,26,1.7215,not single,female,58602.20
21,Dixie,Clark,17,0.1419,single,male,4145.40
22,Treena,Rodriguez,11,2.8912,single,male,47335.93
23,Otha,Lewis,19,5.3466,single,female,108303.47
24,Hershel,Lee,48,0.4904,not single,female,46977.62
25,Tiesha,Walker,58,0.0933,not single,male,7887.81
26,Ula,Hall,63,4.8877,single,male,362782.72
27,Claris,Allen,30,0.5659,not single,female,26998.43
28,Shaunte,Young,15,3.3401,single,male,63345.10
29,Boyce,Hernandez,9,0.6474,single,male,11184.83
30,Lorenza,King,40,5.4709,single,female,398381.99
31,Kaci,Wright,32,3.5345,not single,female,209790.94
32,Jeremiah,Lopez,17,1.0545,not single,male,31798.13
33,Enid,Hill,56,4.8905,single,male,501638.14
34,Wiley,Scott,38,4.8513,not single,female,228275.04
35,Joey,Green,29,4.9520,single,male,263749.76
36,Evalyn,Adams,60,3.1030,single,male,281204.50
37,Oliver,Baker,31,5.7071,single,female,319543.05
38,Aretha,Gonzalez,59,5.3049,not single,female,463285.19
39,Valarie,Nelson,28,5.7854,not single,male,268826.53
40,Rocco,Carter,26,2.9880,single,male,83604.15
41,Jenise,Mitchell,47,3.3720,not single,female,241092.88
42,Marcel,Perez,50,3.2158,single,male,164787.71
43,Doretha,Roberts,11,1.0162,single,male,17849.64
44,Buddy,Turner,53,2.1221,single,female,135138.44
45,Ruben,Phillips,48,5.0702,not single,female,413033.02
46,Sacha,Campbell,60,5.1875,not single,male,540921.35
47,Song,Parker,10,1.9958,single,male,24648.25
48,Ronni,Evans,15,4.7137,not single,female,82776.36
49,Wanda,Edwards,21,2.4313,single,male,86459.61
50,Sharla,Collins,41,1.5414,single,male,101252.57
51,Louann,Stewart,62,3.6454,single,female,403681.41
52,Shira,Sanchez,25,2.9606,not single,female,126544.91
53,Francina,Morris,61,0.4201,not single,male,35534.08
54,Joline,Rogers,65,2.7576,single,male,290310.65
55,Olga,Reed,32,2.0308,not single,female,98410.26
56,Mammie,Cook,68,0.7652,single,male,53532.10
57,Jovan,Morgan,52,2.5168,single,male,177756.00
58,Cristopher,Bell,55,0.2538,single,female,20101.65
59,Boyd,Murphy,20,2.9864,not single,female,74726.15
60,Veronika,Bailey,30,3.1963,not single,male,108618.17
61,Rheba,Rivera,26,3.0610,single,male,104831.11
62,Elfriede,Cooper,23,3.3285,not single,female,92617.54
63,Hee,Richardson,25,0.4466,single,male,11300.77
64,Lucas,Cox,58,0.0229,single,male,1615.86
65,Josefine,Howard,26,3.9140,single,female,113997.86
66,Eugenia,Ward,40,0.1174,not single,female,8696.37
67,Ivey,Torres,17,4.9729,not single,male,152403.34
68,Shelton,Peterson,16,2.8417,single,male,88825.05
69,Rosalinda,Gray,36,4.2212,not single,female,259249.91
70,Ciara,Ramirez,29,0.0317,single,male,1376.44
71,Samira,James,14,1.6369,single,male,41237.23
72,Christiana,Watson,37,0.6117,single,female,39327.50
73,Shantae,Brooks,46,0.0252,not single,female,2043.36
74,Sari,Kelly,32,3.3581,not single,male,112844.50
75,Bree,Sanders,32,1.9374,single,male,76172.70
76,Magdalena,Price,51,2.7914,not single,female,214950.60
77,Soon,Bennett,30,3.7955,single,male,221176.50
78,Laureen,Wood,24,0.5062,single,male,24023.43
79,Lavonna,Barnes,39,5.7885,single,female,322905.94
80,Evelynn,Ross,21,4.7522,not single,female,160222.62
81,Claudie,Henderson,36,4.5941,not single,male,179548.93
82,Toi,Coleman,64,0.7888,single,male,59468.51
83,Nidia,Jenkins,11,5.8208,not single,female,114591.65
84,Mai,Perry,57,2.7136,single,male,183163.82
85,Gabriel,Powell,68,4.6025,single,male,569947.51
86,Dorthy,Long,67,4.6126,single,female,467608.59
87,Van,Patterson,52,2.2850,not single,female,171908.79
88,Dexter,Hughes,47,3.1094,not single,male,174182.28
89,Perla,Flores,41,3.0757,single,male,221314.71
90,Temple,Washington,64,2.5452,not single,female,309962.18
91,Chau,Butler,46,0.7405,single,male,66573.49
92,Adell,Simmons,11,4.0542,single,male,65788.33
93,Valentina,Foster,31,1.4798,single,female,65511.49
94,Valentine,Gonzales,18,0.9038,not single,female,18345.76
95,Janice,Bryant,32,2.4431,not single,male,105000.10
96,Teddy,Alexander,46,0.4316,single,male,32263.25
97,Valentina,Russell,52,2.6014,not single,female,269522.67
98,Valentine,Griffin,21,2.2860,single,male,68570.50
99,Janice,Diaz,29,0.9299,single,male,37076.10
100,Teddy,Hayes,17,3.0710,single,female,71012.91
